Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Vaslui,Cerc 1,Armasoaia,Negre,Da,2
01,Sibiu,Cerc 3,Armeni,Negre,Da,1
01,Caras-Severin,Cerc 3,Armenis,Negre,Da,11
01,Iasi,Cerc 1,Aroneanu,Negre,Da,129
01,Gorj,Cerc 3,Arpadia,Negre,Da,1
01,Bihor,Cerc 3,Arpasel,Negre,Da,5
01,Sibiu,Cerc 3,Arpasu de Jos,Negre,Da,4
01,Sibiu,Cerc 3,Arpasu de Sus,Negre,Da,9
01,Valcea,Cerc 1,Arsanca,Negre,Da,1
01,Gorj,Cerc 1,Arseni,Negre,Da,1
01,Vaslui,Cerc 3,Arsura,Negre,Da,3
01,Gorj,Cerc 3,Artanu,Negre,Da,1
01,Calarasi,Cerc 3,Artari,Negre,Da,3
01,Cluj,Cerc 1,Aruncuta,Negre,Da,1
01,Prahova,Cerc 1,Arva,Negre,Da,1
01,Olt,Cerc 1,Arvateasca,Negre,Da,4
01,Bacau,Cerc 3,Asau,Negre,Da,20
01,Cluj,Cerc 3,Aschileu Mare,Negre,Da,2
01,Cluj,Cerc 3,Aschileu Mic,Negre,Da,3
01,Csongrád-Csanád,Resedinta,Ásotthalom,Negre,Da,2
01,Bihor,Cerc 1,Astileu,Negre,Da,7
01,Maramures,Cerc 3,Asuaju de Jos,Negre,Da,1
01,Maramures,Cerc 3,Asuaju de Sus,Negre,Da,6
01,Pest,Resedinta,Aszód,Negre,Da,7
01,Heves,Resedinta,Átány,Negre,Da,1
01,Satu Mare,Cerc 1,Atea,Negre,Da,1
01,Bihor,Cerc 1,Ateas,Negre,Da,1
01,Sibiu,Cerc 3,Atel,Negre,Da,8
01,Central Athens,Resedinta,Athens,Negre,Da,3
01,Harghita,Cerc 3,Atid,Negre,Da,3
01,Mures,Cerc 3,Atintis,Negre,Da,5
01,Brasov,Cerc 3,Augustin,Negre,Da,9
01,Botosani,Cerc 1,Aurel Vlaicu,Negre,Da,5
01,Hunedoara,Cerc 3,Aurel Vlaicu,Negre,Da,2
01,Valcea,Cerc 1,Auresti,Negre,Da,1
01,Mehedinti,Cerc 3,Aurora,Negre,Da,6
01,Bihor,Cerc 1,Auseu,Negre,Da,12
01,Iasi,Cerc 1,Avantu,Negre,Da,1
01,Neamt,Cerc 1,Averesti,Negre,Da,7
01,Bihor,Cerc 3,Avram Iancu,Negre,Da,10
01,Arad,Cerc 3,Avram Iancu,Negre,Da,4
01,Alba,Cerc 3,Avram Iancu,Negre,Da,3
01,Botosani,Cerc 1,Avram Iancu,Negre,Da,1
01,Botosani,Cerc 1,Avrameni,Negre,Da,16
01,Harghita,Cerc 3,Avramesti,Negre,Da,2
01,Valcea,Cerc 3,Avramesti,Negre,Da,1
01,Sibiu,Cerc 1,Avrig,Negre,Da,246
01,Sibiu,Cerc 3,Axente Sever,Negre,Da,5
01,Ialomita,Cerc 3,Axintele,Negre,Da,8
01,Prahova,Cerc 3,Azuga,Negre,Da,121
01,Maramures,Cerc 3,Baba,Negre,Da,2
01,Prahova,Cerc 3,Baba Ana,Negre,Da,10
01,Satu Mare,Cerc 1,Baba Novac,Negre,Da,3
01,Tulcea,Cerc 1,Babadag,Negre,Da,157
01,Teleorman,Cerc 1,Babaita,Negre,Da,9
01,Arges,Cerc 1,Babana,Negre,Da,11
01,Arges,Cerc 3,Babaroaga,Negre,Da,1
01,Satu Mare,Cerc 1,Babasesti,Negre,Da,6
01,Cluj,Cerc 1,Babdiu,Negre,Da,1
01,Valcea,Cerc 1,Babeni,Negre,Da,181
01,Buzau,Cerc 1,Babeni,Negre,Da,3
01,Salaj,Cerc 1,Babeni,Negre,Da,3
01,Valcea,Cerc 3,Babeni-Oltetu,Negre,Da,2
01,Satu Mare,Cerc 1,Babesti,Negre,Da,2
01,Botosani,Cerc 1,Babiceni,Negre,Da,3
01,Olt,Cerc 1,Babiciu,Negre,Da,11
01,Timis,Cerc 1,Babsa,Negre,Da,2
01,Satu Mare,Cerc 3,Babta,Negre,Da,3
01,Vaslui,Cerc 3,Babusa,Negre,Da,3
01,Cluj,Cerc 3,Babutiu,Negre,Da,2
01,Alba,Cerc 3,Bacainti,Negre,Da,1
01,Teleorman,Cerc 3,Bacalesti,Negre,Da,2
01,Vaslui,Cerc 1,Bacani,Negre,Da,8
01,Vaslui,Cerc 1,Bacaoani,Negre,Da,1
01,Bacau,Resedinta,Bacau,Negre,Da,"4,612"
01,Olt,Cerc 3,Bacea,Negre,Da,2
01,Covasna,Cerc 1,Bacel,Negre,Da,1
01,Buzau,Cerc 1,Baceni,Negre,Da,1
01,Vaslui,Cerc 3,Bacesti,Negre,Da,6
01,Hunedoara,Cerc 1,Bacia,Negre,Da,12
01,Bacau,Cerc 1,Bacioiu,Negre,Da,3
01,Cluj,Cerc 1,Baciu,Negre,Da,944
01,Teleorman,Cerc 1,Baciu,Negre,Da,4
01,Mehedinti,Cerc 3,Bacles,Negre,Da,4
01,Timis,Cerc 1,Bacova,Negre,Da,6
01,Bács-Kiskun,Resedinta,Bácsalmás,Negre,Da,1
01,Bács-Kiskun,Resedinta,Bácsbokod,Negre,Da,2
01,Giurgiu,Cerc 1,Bacu,Negre,Da,"13,625"
01,Iasi,Cerc 3,Bacu,Negre,Da,4
01,Salaj,Cerc 1,Badacin,Negre,Da,12
01,Veszprém,Resedinta,"Badacsonytomaj, Badacsonyörs",Negre,Da,1
01,Botosani,Cerc 1,Badarai,Negre,Da,1
01,Vaslui,Cerc 1,Badeana,Negre,Da,8
01,Iasi,Cerc 3,Badeni,Negre,Da,7
01,Arges,Cerc 1,Badeni,Negre,Da,4
01,Cluj,Cerc 1,Badeni,Negre,Da,4
01,Dambovita,Cerc 1,Badeni,Negre,Da,4
01,Buzau,Cerc 3,Badeni,Negre,Da,1
01,Arges,Cerc 1,Badesti,Negre,Da,10
01,Arges,Cerc 3,Badesti,Negre,Da,1
01,Cluj,Cerc 3,Badesti,Negre,Da,1
01,Gorj,Cerc 3,Badesti,Negre,Da,1
01,Suceava,Cerc 1,Badeuti,Negre,Da,13
01,Buzau,Cerc 1,Badila,Negre,Da,3
01,Botosani,Cerc 1,Badiuti,Negre,Da,1
01,Salaj,Cerc 1,Badon,Negre,Da,2
01,Dolj,Cerc 1,Badosi,Negre,Da,4
01,Suceava,Cerc 1,Badragi,Negre,Da,1
01,Teleorman,Cerc 1,Baduleasa,Negre,Da,2
01,Dambovita,Cerc 1,Badulesti,Negre,Da,3
01,Pest,Resedinta,Bag,Negre,Da,7
01,Mures,Cerc 1,Bagaciu,Negre,Da,8
01,Hajdú-Bihar,Resedinta,Bagamér,Negre,Da,1
01,Alba,Cerc 3,Bagau,Negre,Da,3
01,Neamt,Cerc 1,Bahna,Negre,Da,5
01,Bacau,Cerc 3,Bahna,Negre,Da,2
01,Mehedinti,Cerc 1,Bahna,Negre,Da,1
01,Vaslui,Cerc 1,Bahnari,Negre,Da,1
01,Bacau,Cerc 1,Bahnaseni,Negre,Da,7
01,Mures,Cerc 1,Bahnea,Negre,Da,8
01,Vrancea,Cerc 3,Bahnele,Negre,Da,2
01,Suceava,Cerc 3,Baia,Negre,Da,42
01,Tulcea,Cerc 3,Baia,Negre,Da,39
01,Arad,Cerc 3,Baia,Negre,Da,3
01,Mehedinti,Cerc 3,Baia de Arama,Negre,Da,54
01,Alba,Cerc 3,Baia de Aries,Negre,Da,17
01,Hunedoara,Cerc 1,Baia de Cris,Negre,Da,10
01,Gorj,Cerc 1,Baia de Fier,Negre,Da,60
01,Maramures,Resedinta,Baia Mare,Negre,Da,"2,990"
01,Maramures,Cerc 1,Baia Sprie,Negre,Da,172
01,Salaj,Cerc 1,Baica,Negre,Da,1
01,Iasi,Cerc 3,Baiceni,Negre,Da,4
01,Botosani,Cerc 1,Baiceni,Negre,Da,3
01,Prahova,Cerc 1,Baicoi,Negre,Da,420
01,Arges,Cerc 1,Baiculesti,Negre,Da,13
01,Hunedoara,Cerc 3,Baiesti,Negre,Da,1
01,Arges,Cerc 1,Baila,Negre,Da,1
01,Buzau,Cerc 3,Baile,Negre,Da,1
01,Bihor,Cerc 1,Baile 1 Mai,Negre,Da,1
01,Maramures,Cerc 3,Baile Borsa,Negre,Da,34
01,Bihor,Cerc 1,Baile Felix,Negre,Da,3
01,Valcea,Cerc 1,Baile Govora,Negre,Da,28
01,Caras-Severin,Cerc 3,Baile Herculane,Negre,Da,110
01,Harghita,Cerc 1,Baile Homorod,Negre,Da,1
01,Valcea,Cerc 1,Baile Olanesti,Negre,Da,44
01,Harghita,Cerc 1,Baile Tusnad,Negre,Da,32
01,Dolj,Cerc 1,Bailesti,Negre,Da,246
01,Suceava,Cerc 3,Bainet,Negre,Da,1
01,Suceava,Cerc 1,Baisesti,Negre,Da,13
01,Cluj,Cerc 3,Baisoara,Negre,Da,7
01,Maramures,Cerc 1,Baita,Negre,Da,7
01,Bihor,Cerc 3,Baita,Negre,Da,3
01,Hunedoara,Cerc 1,Baita,Negre,Da,2
01,Mures,Cerc 1,Baita,Negre,Da,2
01,Maramures,Cerc 3,Baita de sub Codru,Negre,Da,4
01,Maramures,Cerc 3,Baiut,Negre,Da,5
01,Bács-Kiskun,Resedinta,Baja,Negre,Da,24
01,Buzau,Cerc 1,Bajani,Negre,Da,6
01,Arges,Cerc 3,Bajesti,Negre,Da,1
01,Komárom-Esztergom,Resedinta,Bajót,Negre,Da,1
01,Botosani,Cerc 1,Bajura,Negre,Da,11
01,Csongrád-Csanád,Resedinta,Baks,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Baktalórántháza,Negre,Da,6
01,Mehedinti,Cerc 3,Bala,Negre,Da,5
01,Mehedinti,Cerc 3,Bala de Sus,Negre,Da,2
01,Tulcea,Cerc 3,Balabancea,Negre,Da,3
01,Galati,Cerc 1,Balabanesti,Negre,Da,3
01,Suceava,Cerc 1,Balaceana,Negre,Da,5
01,Bucuresti & Ilfov,Resedinta,Balaceanca,Negre,Da,107
01,Buzau,Cerc 3,Balaceanu,Negre,Da,4
01,Gorj,Cerc 3,Balacesti,Negre,Da,4
01,Teleorman,Cerc 1,Balaci,Negre,Da,3
01,Mehedinti,Cerc 3,Balacita,Negre,Da,10
01,Ialomita,Cerc 1,Balaciu,Negre,Da,8
01,Bihor,Cerc 1,Balaia,Negre,Da,3
01,Buzau,Cerc 1,Balaia,Negre,Da,2
01,Borsod-Abaúj-Zemplén,Resedinta,Balajt,Negre,Da,1
01,Harghita,Cerc 3,Balan,Negre,Da,72
01,Salaj,Cerc 1,Balan,Negre,Da,12
